itemcode,title,longtitle,brandcode,brand,groupcode,group,statusgroupcode,statusgroup,price,chargeprice,totalprice,suggestprice,barcode,stockfree,backorder,categoryid1,categoryname1,categoryid2,categoryname2,icecatproductid,productimage,warrantyinfo
UDC-1,Ubiquiti Networks UniFi Direct Attach 1m netwerkkabel Zwart,Ubiquiti SFP/SFP+ Direct attach pass. copper cable 1M,Z1,Ubiquiti,C5,Netwerk,10009,New,12.5665,0,12.5665,18.95,817882020527,27,0,9,Kabels en adapters,883,Netwerkkabels,36401939,https://productimages.nl/media/image/low/950f8a645e7324e5f830bfcf85d5083c0f18b1bb1225f4339786e23c491d8197.jpg,1 jaar via Complies
UDC-2,Ubiquiti Networks UniFi Direct Attach 2m netwerkkabel Zwart,Ubiquiti SFP/SFP+ Direct attach pass. copper cable 2M,Z1,Ubiquiti,C5,Netwerk,10009,New,15.58,0,15.58,23.95,817882020534,10,0,9,Kabels en adapters,883,Netwerkkabels,36401940,https://productimages.nl/media/image/low/b9ce71b0e1c6a01c78ef09cec5c82330929639738d4b5644d244f85efbc62f59.jpg,1 jaar via Complies
UDM,Ubiquiti Networks UniFi Dream Machine 1733 Mbit/s Wit,Ubiquiti Networks UniFi Dream Machine 1733 Mbit/s Wit,Z1,Ubiquiti,C5,Netwerk,10009,New,222.995925,0,222.995925,344.95,817882025966,8,0,16,Netwerk,909,WLAN access points,76604511,https://productimages.nl/media/image/low/2d8b371c39db7f250a3b561ddd3df052558e12b1e208cded6a68ae702ab3258d.jpg,1 jaar via Complies
UDM-PRO,Ubiquiti Networks UniFi Dream Machine Pro Managed Gigabit Ethernet (10/100/1000) Wit,Ubiquiti Networks UniFi Dream Machine Pro Managed Gigabit Et,Z1,Ubiquiti,C5,Netwerk,10009,New,299.0335,0,299.0335,474.95,817882027373,0,0,16,Netwerk,258,Netwerkswitches,77810518,https://productimages.nl/media/image/low/fc21dc02e1cc2ada8cc3fcfe538488b407657f337fde07616a6a5e48dc90cad3.jpg,1 jaar via Complies
UE300,TP-LINK UE300 Ethernet 1000 Mbit/s,TP-Link UE300 USB 3.0 to Gigabit Ethernet Adapter,C7,TP-Link,C5,Netwerk,10009,New,7.563475,0,7.563475,11.95,6935364091743,10,0,16,Netwerk,182,Netwerkkaarten & -adapters,26525662,https://productimages.nl/media/image/low/c2a8e8563a983b3c20b7bc045bae35b6721ef7b15d13937ee84df7b1a082474f.jpg,3 jaar via Complies na fabricagedatum
UF-MM-10G,Ubiquiti UF-MM-10G SFP Incl Module,Ubiquiti UF-MM-10G SFP Incl Module,Z1,Ubiquiti,C5,Netwerk,10009,New,28.725625,0,28.725625,43.95,,9,0,16,Netwerk,1869,Netwerk transceiver modules,0,https://productimages.nl/media/image/low/1aed256b6b05cff49141b91f7d14035d168fbdce49ca6c392b18d7322d913919.jpg,1 jaar via Complies
UF-MM-1G,Ubiquiti Networks UF-MM-1G 1250Mbit/s SFP 850nm Multimode netwerk transceiver module,Ubiquiti Multimode network transceiver module 1250Mbit/s,Z1,Ubiquiti,C5,Netwerk,10009,New,12.669,0,12.669,18.95,810354025907,20,0,16,Netwerk,1869,Netwerk transceiver modules,33633738,https://productimages.nl/media/image/low/3f5a2939a4175aa9d44369a50c03ed54e4b9553d1516ebcfac8c279c1b709136.jpg,1 jaar via Complies
UF-RJ45-10G,Ubiquiti Networks UF-RJ45-10G netwerk transceiver module Koper 10000 Mbit/s RJ-45,Ubiquiti Networks UF-RJ45-10G netwerk transceiver module Kop,Z1,Ubiquiti,C5,Netwerk,10009,New,48.137075,0,48.137075,74.95,817882025751,0,10,16,Netwerk,1869,Netwerk transceiver modules,61107945,https://productimages.nl/media/image/low/67194cc6f339b26913ed78e85f6a120c5a072e565dce8c5de806193c69a1deb2.jpg,1 jaar via Complies
UF-RJ45-1G,Ubiquiti Networks UF-RJ45-1G netwerk transceiver module Koper 1000 Mbit/s SFP,Ubiquiti Networks UF-RJ45-1G netwerk transceiver module Kope,Z1,Ubiquiti,C5,Netwerk,10009,New,10.868075,0,10.868075,16.95,817882022729,11,0,16,Netwerk,1869,Netwerk transceiver modules,38178760,https://productimages.nl/media/image/low/f64764eecdfbe2a0863d00302784ad522ddc0e657157ebfb4a0a348c0bd364d5.jpg,1 jaar via Complies
UH400,TP-LINK UH400 USB 3.2 Gen 1 (3.1 Gen 1) Type-A 5000 Mbit/s Zwart,TP-Link UH400 4ports Hub 5000 Mbit/s Black,C7,TP-Link,C5,Netwerk,10009,New,7.192425,0,7.192425,11.5,6935364091477,62,0,9,Kabels en adapters,243,Interface hubs,26508560,https://productimages.nl/media/image/low/7889883404fcc5d442f27c409de8dcd068c829a48653875d532f094f3e17bd90.jpg,3 jaar via Complies
UM.UX2EE.001,Mon Acer K242HQLbid 23.6inch / F-HD / VGA / HDMI / Black,Mon Acer K242HQLbid 23.6inch / F-HD / VGA / HDMI / Black,C6,Acer,G1,Monitoren,10009,New,86.1,0,86.1,127.95,4710180440508,46,0,19,Beeld en geluid,222,Monitoren en displays,0,https://productimages.nl/media/image/low/9eb0e8fcb7d34b71fb1c2800d136513abb881b8b2af65d0691446dd20c461f49.jpg,2 jaar pickup and return
UM.WS0EE.A01,"Acer SA0 SA220QAbi 54,6 cm (21.5"") 1920 x 1080 Pixels Full HD LED Zwart","Mon Acer SA0 (21.5"") Full HD / VGA / HDMI / Black",C6,Acer,G1,Monitoren,10009,New,77.3875,0,77.3875,112.95,4713883852210,0,0,19,Beeld en geluid,222,Monitoren en displays,66959347,https://productimages.nl/media/image/low/170f7f419bb786f39dcd5dae880ba21ff729cea636224c00627b53d0c89df48d.jpg,2 jaar via fabrkant
UM.WV6EE.B04,"Acer V6 V226HQL 54,6 cm (21.5"") 1920 x 1080 Pixels Full HD Zwart",Mon Acer 21.5  F-HD / DVI / VGA / Black,C6,Acer,G1,Monitoren,10009,New,68.41875,0,68.41875,121.5,,0,0,19,Beeld en geluid,222,Monitoren en displays,20391252,https://productimages.nl/media/image/low/3f7e451cafa62d8b266b0af5a1b611ed30537f47d66ef80c70b327ef210b787e.jpg,2 jaar pickup and return
UM.WX0EE.D01-RFB,Mon Acer KA220HQD 21.5inch / F-HD / VGA / HDMI / IPS / Black,Mon Acer KA220HQD 21.5inch / F-HD / VGA / HDMI / IPS / Black,C6,Acer,G1,Monitoren,10005,Refurbished Bronze,69.7,0,69.7,122.5,,0,0,19,Beeld en geluid,222,Monitoren en displays,32876032,https://productimages.nl/media/image/low/364b7ea79ade1cdfc01ef14e64051921805b1f675bee95bda86fe8c96bc077d3.jpg,"1 jaar via Complies, (niet uitbreidbaar)"
